naam,id,eigenaar.bsn,ras,Geboortedatum,Sterftedatum
Falda,16727,616279681,Komondor,29-6-2009,
Enna,28978,783889732,Fieldspaniël,5-9-2010,
Kanaris,53215,503990619,Slovensky kopov,17-6-2022,
Ikon,13051,238063859,Miniatuurbulterriër,3-7-2014,
Janis,,884418078,Amerikaanse akita,21-6-2009,
Iddy,20838,238293452,Bichon frisé,17-11-2018,
Tashi,45362,870023822,Jämthund,9-4-2009,
Arank,50685,292574009,Duitse staande hond (draadhaar),10-9-2013,
Taboo,22163,980111596,American foxhound,6-3-2016,
Candra,81598,772285202,Mastino Napoletano,27-2-2008,
Cimba,,51769931,Lancashire heeler,11-1-2005,24-9-2007
Dominic,58990,663698339,Kelpie,8-3-2022,
Banjer,79363,15990126,Glen,2-10-2016,
Eilgard,86761,62205006,Shikoku,1-12-2021,
Tahiti,22891,119877351,Épagneul picard,10-3-2006,24-1-2011
Caro,56610,589767719,Shetland sheepdog,28-3-2013,18-4-2014
Antonio,52672,947781328,Eurasiër,28-8-2022,
Ida,,153806515,Zwitserse witte herder,27-8-2006,
Heicke,46799,349451230,pronkrug,11-10-2019,
Yamira,30914,464724454,Riesenschnauzer,15-9-2009,23-4-2022
Balla,28833,234123254,atlashond,4-2-2012,13-5-2012
Camina,18505,922184975,Prazsky krysarik,3-5-2016,
Agge,72875,841383923,Français blanc et noir,28-8-2015,
Acuma,92919,722864863,Hygenhund,13-12-2012,
Action,73557,400836452,Ierse setter,11-4-2013,
Bertilo,14682,264924514,grote poedel,30-9-2014,
Ferkel,26017,613714660,Luzerner niederlaufhund,16-10-2013,
Valko,52002,777223090,Entlebucher sennenhond,22-4-2019,
Pauper,87365,648380853,Parson Russell-terriër,24-1-2021,
Paragon,63238,455573815,Foxhound,16-1-2011,27-8-2014
Oets,44541,713623780,sheltie,25-10-2020,
Varus,87595,949120042,Engelse toyterriër,17-6-2007,
Qhum,95440,14072191,Miniature American Shepherd,12-12-2012,
Jaeger,19764,520129763,Leonberger,4-10-2006,
Anou,66856,255866720,Poolse laaglandherder,30-4-2007,29-7-2014
Neik,35323,988738995,Cairnterriër,25-5-2015,
Cinda,16893,894209073,Tosa,28-9-2010,16-10-2010
Alger,37848,422120807,Chowchow,7-8-2022,
